case_id,book_id,type,text_A,text_B,label_A,label_B,decision,rule_applied,precedent_id,new_precedent,resolved_in_favor_of,judge_id,date
C0001,RUS-O_long_01,NER_label,Обнимама,Обнимама,PER_FAMILY,PER_NAME,PER_NAME,семейная роль становится уникальным авторским именем персонажа,A-4,False,B,ADJ,2026-06-29
C0002,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0003,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0004,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0005,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0006,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0007,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0008,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0009,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
C0010,RUS-O_long_01,NER_label,Марабу,Марабу,PER_ROLE,PER_NAME,PER_NAME,Животные как конкретные персонажи с индивидуальными чертами и уникальным именем,A-3,False,B,ADJ,2026-06-29
C0011,RUS-O_long_01,NER_label,Обнимашка,Обнимашка,PER_ROLE,PER_NAME,PER_NAME,Уникальное авторское имя,A-1,False,B,ADJ,2026-06-29
