precedent_id,task,status,title,rule,example_ru,resolution,notes
A-1,NER,stable,PER_NAME vs PER_ROLE: unique authorial names,"A unique authorial name created for a specific character is labeled PER_NAME, even if etymologically linked to a role or characteristic. Tests: sole identifier of the character; declines as a proper noun; used as a form of address; not replaceable by a generalized description without loss of meaning.","«Обнимашка» ('little hugger'); «Марабу» ('Marabou'): A → PER_ROLE, B → PER_NAME",PER_NAME (in favor of B),Transferred into the NER guidelines as Rule 8.
A-2,NER,stable,PER_NAME vs PER_ROLE: anthropomorphic objects with a nickname,"PER_NAME if the word is used only as an address/reference to a specific, one-of-a-kind character; PER_ROLE if it remains a category/species description, even applied to a single character. Test: can you say 'one of the [X]'?","«Жёлтый» ('Yellow', a flower character) vs «Одуванчики» ('Dandelions', a group)",«Жёлтый» → PER_NAME; «Одуванчики» → PER_ROLE,No occurrences in the released adjudication log: resolved during handbook compilation.
A-3,NER,stable,PER_NAME vs PER_ROLE: animal characters,Animals acting as specific characters with individual traits and a unique name are PER_NAME; animals as a generic species or background role are PER_ROLE.,"«Марабу» (a named teacher) vs «Сова», «Снегирь», «Попугай» (species, no unique name)",«Марабу» → PER_NAME; «Сова»/«Снегирь»/«Попугай» → PER_ROLE,
A-4,NER,stable,PER_NAME vs PER_FAMILY: kinship roles as names,PER_FAMILY for standard kinship words in the context of a specific family; PER_NAME when the kinship role becomes the character's unique authorial name. Test: can the word be used as a form of address independently of the kinship fact?,"«мама» vs «Обнимама», «Мама-паровоз», «Мама-Тигрица», «Папа-Тигр»",«мама» → PER_FAMILY; the authorial names → PER_NAME,The address test added to the NER guidelines as Rule 10.
A-4a,NER,stable,Compound nouns with a kinship term: name vs. episodic metaphor,A compound 'kinship word + noun' is PER_NAME only if it is a fixed authorial name used as the character's main identifier and form of address throughout the book; a one-off metaphorical comparison within an episode is PER_ROLE (one span over the whole compound).,«мама-паровоз» as an episodic metaphor vs «Мама-паровоз» as a character's name in RUS-O_long_01,Episodic metaphor → PER_ROLE (one span); fixed authorial name → PER_NAME,Clarification to A-1/A-4/A-7; appears untitled in the working handbook; assigned the identifier A-4a for machine readability; does not occur as a standalone precedent_id in the adjudication log.
A-5,NER,stable,PER_ROLE vs PER_FAMILY: collective kinship terms,PER_FAMILY if the word denotes a kinship role relative to a specific child character (possessive anchoring or single-family context); PER_ROLE if used generically without a link to a specific family.,«Дети бежали к морю» vs «Его родители работали в саду»,Generic → PER_ROLE; possessively anchored → PER_FAMILY,Status raised to STABLE: the possessive-anchoring criterion confirmed without contradiction on all discovered cases.
A-6,NER,stable,Spans of compound names: splitting into parts,"A fixed phrase forming a character's single name (name + neologistic patronymic/surname; fixed recognizable names) is annotated as ONE span labeled PER_NAME, regardless of the number of words.","«Дед Мороз»: A → one span PER_ROLE; B → two spans «Дед»+«Мороз», both PER_NAME. «Керосин Бензинович» (8 mentions): A → one span PER_NAME; B → two spans each time","One span over the full name, PER_NAME","✎ Corrected from data: the real pattern is 'one span vs. two spans', not 'longer vs. shorter span'. A separate technical defect found: one duplicated span with two labels at identical offsets - an interface glitch, to be fixed in the data."
A-7,NER,stable,Spans of compound object designations: splitting into parts,"An object designation consisting of an attributive adjective and the role-bearing noun is annotated as ONE span over the whole phrase, labeled PER_ROLE; annotating the adjective alone is incomplete annotation.","«СНЕГОУБОРОЧНАЯ МАШИНА»: A → one span over both words, PER_ROLE; B → span over the adjective only","One span over the whole phrase, PER_ROLE",✎ Corrected from data (analogous to A-6).
A-8,NER,open,Missed entities: single-word spans without a head noun,"Not yet decided. Two subtypes identified among the 360 preliminarily found single-word spans: (i) an adjective without its head noun - probable technical artifact, proposed not to count as a separate entity; (ii) «природа» ('nature') in a personifying context - a substantive open question about the limits of anthropomorphization.",«маленький» separately from «слонёнок»; «мудрой природе»,Pending: both subtypes must be resolved on the full 360-case sample before the next annotation round,The aggregate figure (360) is uninformative without the subtype breakdown; use with caution.
A-9,NER,stable,PER_ROLE: social relations outside the family,"Words denoting stable social relations («друзья», «приятели», «товарищи») are PER_ROLE when referring to specific characters within the world of the book rather than used abstractly.","«— Эй, а где все твои друзья?»",«друзья» → PER_ROLE,
